id;id_regional;denominacion;id_vigencia;id_tipo_agrupacion;estado;id_tipo_comision;id_periodo_comision;id_usuario_inserta
51;5;LOS OLIVOS - COMISION 1;375;2;1;1;1;1
20;5;MIRAFLORES - COMISION 1;375;2;1;1;1;1
33;5;CHACLACAYO-LURIGANCHO-CHOSICA - UNICA;375;1;1;1;1;1
17;5;SAN MIGUEL - COMISION 1;375;2;1;1;1;1
55;5;SAN JUAN DE MIRAFLORES - UNICA;375;2;1;1;1;1
54;5;SAN JUAN DE LURIGANCHO - UNICA;375;2;1;1;1;1
36;5;MALA-SAN ANTONIO-STA CRUZ DE FLORES - UNICA;375;1;1;1;1;1
58;5;VENTANILLA - MI PERU - UNICA;375;2;1;1;1;1
71;5;PUCUSANA, SAN BARTOLO, SANTA MARIA DEL MAR;375;1;1;1;1;1
76;5;HUARAL, CHANCAY, AUCALLAMA, HUAURA, HUALMAY, STA MARIA, BARRANCA, HUAURA DISTRITAL, VEGUETA, SAYAN, PARAMONGA;375;1;1;1;1;1
59;5;VILLA MARÍA DEL TRIUNFO, VILLA EL SALVADOR - UNICA;375;1;1;1;1;1
6;5;SAN BORJA - COMISION 3;375;2;1;1;1;1
37;5;HUAURA, HUALMAY, SANTA MARÍA, BARRANCA, HUAURA DISTRITAL, PARAMONGA, VÉGUETA, SAYÁN - UNICA;375;1;1;1;1;1
65;5;JESUS MARIA;375;2;1;1;1;1
21;5;MIRAFLORES - COMISION 2;375;2;1;1;1;1
27;5;BARRANCO - COMISION 1;375;2;1;1;1;1
41;5;CHORRILLOS - COMISION 1;375;2;1;1;1;1
49;5;INDEPENDENCIA - SAN MARTIN DE PORRES - UNICA;375;1;1;1;1;1
44;5;LA VICTORIA - COMISION 1;375;2;1;1;1;1
35;5;HUARAL-CHANCAY-AUCALLAMA - UNICA;375;1;1;1;1;1
7;5;MIRAFLORES - COMISION 4;375;2;1;1;1;1
77;5;PUNTA HERMOSA, PUNTA NEGRA;375;1;1;1;1;1
82;5;SUPE - CANTA PRUEBA;375;1;1;1;1;1
69;5;COMISIÓN TÉCNICA AD HOC DEL CALLAO;375;2;1;1;1;1
10;5;SAN ISIDRO - COMISION 3;375;2;1;1;1;1
61;5;ASIA, QUILMANA, CERRO AZUL, IMPERIAL, NVO. IMPERIAL, SAN LUIS (CAÑETE) - UNICA;375;1;1;1;1;1
30;5;SURQUILLO - UNICA;375;2;1;1;1;1
32;5;CHILCA - PUCUSANA - UNICA;375;1;1;1;1;1
79;5;SAN JUAN DE MIRAFLORES, VILLA MARÍA DEL TRIUNFO, VILLA EL SALVADOR;375;1;1;1;1;1
42;5;CENTRO HISTORICO LIMA - UNICA;375;1;1;1;1;1
48;5;EL AGUSTINO - STA MARÍA DE HUACHIPA -;375;1;1;1;1;1
75;5;CHILCA, MALA, SAN ANTONIO, STA CRUZ DE FLORES;375;1;1;1;1;1
34;5;CIENEGUILLA-SAN ANTONIO DE HUAROCHIRI-PACHACAMAC - UNICA;375;1;1;1;1;1
62;5;CERCADO Y PROVINCIAL DE LIMA - COMISION 1;375;1;1;1;1;1
3;5;LA MOLINA - COMISION 3;375;2;1;1;1;1
38;5;PUNTA HERMOSA, PUNTA NEGRA, SAN BARTOLO, STA MARÍA DEL MAR - UNICA;375;1;1;1;1;1
28;5;BARRANCO - COMISION 2;375;2;1;1;1;1
63;5;CERCADO Y PROVINCIAL DE LIMA - COMISION 2;375;1;1;1;1;1
57;5;CERCADO Y PROVINCIAL CAÑETE - UNICA;375;2;1;1;1;1
81;5;LUNAHUNA PROVINCIAL PRUEBA;375;2;1;1;1;1
73;5;ANCÓN, MI PERÚ, PUENTE PIEDRA, SANTA ROSA, VENTANILLA;375;1;1;1;1;1
56;5;SAN LUIS - UNICA;375;1;1;1;1;1
46;5;BELLAVISTA - CARMEN DE LA LEGUA - UNICA;375;1;1;1;1;1
15;5;PUEBLO LIBRE - COMISION 1;375;2;1;1;1;1
52;5;LOS OLIVOS - COMISION 2;375;2;1;1;1;1
50;5;LA PERLA/LA PUNTA - UNICA;375;1;1;1;1;1
11;5;SAN ISIDRO - COMISION 4;375;2;1;1;1;1
22;5;MIRAFLORES - COMISION 3;375;2;1;1;1;1
45;5;LA VICTORIA - COMISION 2;375;2;1;1;1;1
8;5;SAN ISIDRO - COMISION 1;375;2;1;1;1;1
47;5;CARABAYLLO - COMAS - UNICA;375;1;1;1;1;1
53;5;RIMAC - UNICA;375;2;1;1;1;1
74;5;ASIA, QUILMANA, CERRO AZUL, IMPERIAL, NVO. IMPERIAL, SAN LUIS, CERC. Y PROV. DE CAÑETE;375;1;1;1;1;1
64;5;CERCADO Y PROVINCIAL DEL CALLAO - UNICA;375;1;1;1;1;1
26;5;SANTIAGO DE SURCO - COMISION 4;375;2;1;1;1;1
18;5;SAN MIGUEL - COMISION 2;375;2;1;1;1;1
16;5;PUEBLO LIBRE - COMISION 2;375;2;1;1;1;1
12;5;MAGDALENA DEL MAR - COMISION 1;375;2;1;1;1;1
4;5;SAN BORJA - COMISION 1;375;2;1;1;1;1
80;5;LUNAHUANA LUNAHUANA PRUEBA;375;2;1;1;1;1
9;5;SAN ISIDRO - COMISION 2;375;2;1;1;1;1
43;5;CHORRILLOS - COMISION 2;375;2;1;1;1;1
68;5;COMISIÓN TÉCNICA AD HOC DE LIMA;375;1;1;1;1;1
29;5;LURIN - UNICA;375;2;1;1;1;1
24;5;SANTIAGO DE SURCO - COMISION 2;375;2;1;1;1;1
14;5;LINCE - COMISION 1;375;2;1;1;1;1
19;5;SAN MIGUEL - COMISION 3;375;2;1;1;1;1
70;5;COMISIÓN TÉCNICA AD HOC DE HUAURA;375;1;1;1;1;1
1;5;LA MOLINA - COMISION 1;375;2;1;1;1;1
25;5;SANTIAGO DE SURCO - COMISION 3;375;2;1;1;1;1
60;5;ANCÓN-SANTA ROSA-PUENTE PIEDRA - UNICA;375;1;1;1;1;1
23;5;SANTIAGO DE SURCO - COMISION 1;375;2;1;1;1;1
78;5;RIMAC, SAN JUAN DE LURIGANCHO;375;1;1;1;1;1
40;5;BREÑA - COMISION 1;375;2;1;1;1;1
13;5;MAGDALENA DEL MAR - COMISION 2;375;2;1;1;1;1
72;5;LINCE - COMISION 2;375;2;1;1;1;1
66;5;ATE - COMISION 1;375;2;1;1;1;1
